M_init age core_mass st
22.0991 9.708804187183e+00 7.33404 5
22.1985 9.687817831133e+00 7.35902 5
22.3971 9.642735170400e+00 7.40881 5
22.6949 9.565214769950e+00 7.49208 5
22.5956 9.591773569990e+00 7.46418 5
22.4963 9.618390260557e+00 7.4361 5
22.7942 9.536685531004e+00 7.52145 5
22.2978 9.664141326907e+00 7.38436 5
22.8935 9.473329215348e+00 7.58656 5
23.0922 9.401378702678e+00 7.66088 5
23.1914 9.367167406013e+00 7.69631 5
22.9929 9.437356791057e+00 7.62362 5
23.39 9.316032256547e+00 7.74979 5
23.2907 9.342165566657e+00 7.72288 5
23.688 9.242831245132e+00 7.8278 5
23.5886 9.266848530749e+00 7.80233 5
23.4893 9.291724959837e+00 7.77576 5
23.7873 9.217721919817e+00 7.85403 5
23.8865 9.193836515658e+00 7.87902 5
24.0851 9.146970205611e+00 7.9313 5
24.2837 9.086287867588e+00 7.98558 5
23.9858 9.170526023908e+00 7.9049 5
24.383 9.058366500019e+00 8.01333 5
24.5816 9.021039260209e+00 8.06809 5
24.6809 8.927377557449e+00 8.13839 4
24.1844 9.117464028541e+00 7.95921 5
24.4824 9.042787115937e+00 8.04114 5
24.7802 8.886466567933e+00 8.17046 4
24.8795 8.868109704479e+00 8.18476 4
24.9788 8.855970284845e+00 8.19421 4
25.0782 8.845095905044e+00 8.20264 4
25.1775 8.833488131675e+00 8.21168 4
25.376 8.725066324701e+00 8.30007 4
25.2767 8.815031316509e+00 8.22634 4
25.4753 8.705703876846e+00 8.31593 4
25.5746 8.701198439654e+00 8.3194 4
26.2697 8.568991461662e+00 8.4328 4
25.9718 8.578408204630e+00 8.42548 4
25.8726 8.607910877851e+00 8.39796 4
26.369 8.493057509972e+00 8.49961 4
25.6739 8.698682562047e+00 8.32123 4
25.7732 8.686006108280e+00 8.33383 4
26.0711 8.578417981319e+00 8.42516 4
26.4684 8.469409935920e+00 8.52053 4
26.1704 8.578453050300e+00 8.42486 4
26.6669 8.471120276098e+00 8.51838 4
26.5677 8.474289952868e+00 8.5158 4
26.7662 8.388514028090e+00 8.59336 4
26.9648 8.384061707636e+00 8.59685 4
26.8655 8.377260937423e+00 8.60347 4
27.0641 8.375407640915e+00 8.60459 4
27.1634 8.284809891070e+00 8.68958 4
27.2628 8.295907561226e+00 8.67862 4
27.362 8.297834742217e+00 8.67871 4
27.4613 8.213175259155e+00 8.75808 4
27.6599 8.226656700861e+00 8.74655 4
27.9579 8.158631361649e+00 8.81275 4
28.0572 8.090551812796e+00 8.88105 4
27.8586 8.146894803187e+00 8.82473 4
28.1564 8.082335744953e+00 8.8891 4
27.7592 8.152377086800e+00 8.8196 4
27.5606 8.218731090864e+00 8.7546 4
28.4543 8.024582421079e+00 8.94774 4
28.653 7.964229255768e+00 9.01051 4
28.5536 8.038423889491e+00 8.9331 4
28.355 8.027443444161e+00 8.94508 4
28.2557 8.096286687005e+00 8.87461 4
28.7523 7.973393466343e+00 9.00053 4
28.9508 7.903793712779e+00 9.0743 4
29.0501 7.928997167532e+00 9.04913 4
29.1494 7.934101713389e+00 9.04335 4
28.8515 7.985492311067e+00 8.98972 4
29.2487 7.861433811161e+00 9.12174 4
29.4474 7.821961385381e+00 9.16463 4
29.5466 7.822636202572e+00 9.16357 4
29.6459 7.842100427033e+00 9.14171 4
29.3481 7.887537029690e+00 9.09294 4
29.7452 7.740092602927e+00 9.25571 4
29.9438 7.788730838104e+00 9.2001 4
29.8445 7.786853790073e+00 9.20254 4
30.1425 7.733899407003e+00 9.26149 4
30.0431 7.686469290079e+00 9.3163 4
30.2417 7.643153239358e+00 9.37013 4
30.341 7.669062325612e+00 9.33671 4
30.4403 7.632972603172e+00 9.3826 4
30.7383 7.595346296976e+00 9.43284 4
30.8376 7.620433876109e+00 9.39993 4
30.5396 7.631673592972e+00 9.38631 4
30.6389 7.647587160786e+00 9.36559 4
30.9368 7.576971431237e+00 9.45628 4
31.0361 7.589127995341e+00 9.44001 4
31.334 7.577413865560e+00 9.45441 4
31.1354 7.598791299810e+00 9.42706 4
31.2347 7.556755761289e+00 9.48199 4
31.9298 7.500684005602e+00 9.55704 4
31.7312 7.527704834917e+00 9.52141 4
31.4333 7.526270310835e+00 9.52189 4
31.5327 7.554511410284e+00 9.48634 4
31.8305 7.537696700564e+00 9.5077 4
31.6319 7.515418823619e+00 9.53815 4
32.1285 7.474770033898e+00 9.59152 4
32.0292 7.520017611970e+00 9.53074 4
32.327 7.458471967837e+00 9.61313 4
32.2278 7.501476428545e+00 9.55498 4
32.5256 7.451340353639e+00 9.62466 4
32.4263 7.482118815640e+00 9.58295 4
32.7242 7.472305892678e+00 9.59531 4
32.6249 7.459797334280e+00 9.6127 4
32.9229 7.458146794584e+00 9.61398 4
32.8236 7.438325342845e+00 9.6416 4
33.0222 7.418558413355e+00 9.66832 4
33.3201 7.430296271251e+00 9.65344 4
33.1215 7.444537469437e+00 9.63203 4
33.4194 7.397114796658e+00 9.69932 4
33.2208 7.402755054272e+00 9.68968 4
